,DATE,per_capita_income,county,state
115,1978-01-01,6615,Bronx County,New York
116,1979-01-01,7224,Bronx County,New York
117,1980-01-01,8127,Bronx County,New York
118,1981-01-01,9062,Bronx County,New York
119,1982-01-01,9825,Bronx County,New York
120,1983-01-01,10387,Bronx County,New York
121,1984-01-01,11282,Bronx County,New York
122,1985-01-01,11815,Bronx County,New York
123,1986-01-01,12367,Bronx County,New York
124,1987-01-01,12741,Bronx County,New York
125,1988-01-01,13526,Bronx County,New York
126,1989-01-01,14480,Bronx County,New York
127,1990-01-01,15643,Bronx County,New York
128,1991-01-01,15801,Bronx County,New York
129,1992-01-01,16119,Bronx County,New York
130,1993-01-01,16341,Bronx County,New York
131,1994-01-01,16759,Bronx County,New York
132,1995-01-01,17223,Bronx County,New York
133,1996-01-01,17631,Bronx County,New York
134,1997-01-01,17953,Bronx County,New York
135,1998-01-01,18359,Bronx County,New York
136,1999-01-01,18979,Bronx County,New York
137,2000-01-01,20102,Bronx County,New York
138,2001-01-01,21592,Bronx County,New York
139,2002-01-01,21871,Bronx County,New York
140,2003-01-01,22504,Bronx County,New York
141,2004-01-01,23772,Bronx County,New York
142,2005-01-01,24127,Bronx County,New York
143,2006-01-01,25939,Bronx County,New York
144,2007-01-01,28022,Bronx County,New York
145,2008-01-01,27856,Bronx County,New York
146,2009-01-01,28143,Bronx County,New York
147,2010-01-01,29068,Bronx County,New York
148,2011-01-01,29394,Bronx County,New York
149,2012-01-01,29116,Bronx County,New York
150,2013-01-01,29172,Bronx County,New York
151,2014-01-01,29988,Bronx County,New York
152,2015-01-01,31074,Bronx County,New York
153,2016-01-01,31592,Bronx County,New York
154,2017-01-01,33442,Bronx County,New York
155,2018-01-01,34468,Bronx County,New York
156,2019-01-01,37090,Bronx County,New York
157,2020-01-01,42414,Bronx County,New York
158,2021-01-01,46834,Bronx County,New York
159,1969-01-01,3895,Broome County,New York
160,1970-01-01,4153,Broome County,New York
161,1971-01-01,4412,Broome County,New York
162,1972-01-01,4700,Broome County,New York
163,1973-01-01,5061,Broome County,New York
164,1974-01-01,5517,Broome County,New York
165,1975-01-01,5991,Broome County,New York
166,1976-01-01,6393,Broome County,New York
167,1977-01-01,7000,Broome County,New York
168,1978-01-01,7705,Broome County,New York
169,1979-01-01,8440,Broome County,New York
170,1980-01-01,9457,Broome County,New York
171,1981-01-01,10542,Broome County,New York
172,1982-01-01,11602,Broome County,New York
173,1983-01-01,12430,Broome County,New York
174,1984-01-01,13847,Broome County,New York
175,1985-01-01,14527,Broome County,New York
176,1986-01-01,15203,Broome County,New York
177,1987-01-01,16102,Broome County,New York
178,1988-01-01,17030,Broome County,New York
179,1989-01-01,18281,Broome County,New York
180,1990-01-01,19027,Broome County,New York
181,1991-01-01,19536,Broome County,New York
182,1992-01-01,20194,Broome County,New York
183,1993-01-01,20162,Broome County,New York
184,1994-01-01,20460,Broome County,New York
185,1995-01-01,21242,Broome County,New York
186,1996-01-01,22139,Broome County,New York
187,1997-01-01,23156,Broome County,New York
188,1998-01-01,23718,Broome County,New York
189,1999-01-01,24725,Broome County,New York
190,2000-01-01,26327,Broome County,New York
191,2001-01-01,26610,Broome County,New York
192,2002-01-01,27107,Broome County,New York
193,2003-01-01,27271,Broome County,New York
194,2004-01-01,28298,Broome County,New York
195,2005-01-01,28461,Broome County,New York
196,2006-01-01,30158,Broome County,New York
197,2007-01-01,32103,Broome County,New York
198,2008-01-01,33957,Broome County,New York
199,2009-01-01,34368,Broome County,New York
200,2010-01-01,35443,Broome County,New York
201,2011-01-01,36236,Broome County,New York
202,2012-01-01,37042,Broome County,New York
203,2013-01-01,36935,Broome County,New York
204,2014-01-01,37158,Broome County,New York
205,2015-01-01,38615,Broome County,New York
206,2016-01-01,38938,Broome County,New York
207,2017-01-01,40954,Broome County,New York
208,2018-01-01,41838,Broome County,New York
209,2019-01-01,43732,Broome County,New York
210,2020-01-01,47712,Broome County,New York
211,2021-01-01,50657,Broome County,New York
212,1969-01-01,3139,Cattaraugus County,New York
213,1970-01-01,3318,Cattaraugus County,New York
214,1971-01-01,3473,Cattaraugus County,New York
215,1972-01-01,3630,Cattaraugus County,New York
216,1973-01-01,4108,Cattaraugus County,New York
217,1974-01-01,4556,Cattaraugus County,New York
218,1975-01-01,4920,Cattaraugus County,New York
219,1976-01-01,5245,Cattaraugus County,New York
220,1977-01-01,5653,Cattaraugus County,New York
221,1978-01-01,6140,Cattaraugus County,New York
222,1979-01-01,6949,Cattaraugus County,New York
223,1980-01-01,7636,Cattaraugus County,New York
224,1981-01-01,8305,Cattaraugus County,New York
225,1982-01-01,8936,Cattaraugus County,New York
226,1983-01-01,9390,Cattaraugus County,New York
227,1984-01-01,10366,Cattaraugus County,New York
228,1985-01-01,10958,Cattaraugus County,New York
229,1986-01-01,11595,Cattaraugus County,New York
230,1987-01-01,12353,Cattaraugus County,New York
231,1988-01-01,13174,Cattaraugus County,New York
232,1989-01-01,14154,Cattaraugus County,New York
233,1990-01-01,14930,Cattaraugus County,New York
234,1991-01-01,15250,Cattaraugus County,New York
235,1992-01-01,16235,Cattaraugus County,New York
236,1993-01-01,16386,Cattaraugus County,New York
237,1994-01-01,16928,Cattaraugus County,New York
238,1995-01-01,17707,Cattaraugus County,New York
239,1996-01-01,18537,Cattaraugus County,New York
240,1997-01-01,19432,Cattaraugus County,New York
241,1998-01-01,20073,Cattaraugus County,New York
242,1999-01-01,21141,Cattaraugus County,New York
243,2000-01-01,22017,Cattaraugus County,New York
244,2001-01-01,23084,Cattaraugus County,New York
245,2002-01-01,23918,Cattaraugus County,New York
246,2003-01-01,25028,Cattaraugus County,New York
247,2004-01-01,26480,Cattaraugus County,New York
248,2005-01-01,26782,Cattaraugus County,New York
249,2006-01-01,27986,Cattaraugus County,New York
250,2007-01-01,29230,Cattaraugus County,New York
251,2008-01-01,31167,Cattaraugus County,New York
252,2009-01-01,31858,Cattaraugus County,New York
253,2010-01-01,33278,Cattaraugus County,New York
254,2011-01-01,33297,Cattaraugus County,New York
255,2012-01-01,34094,Cattaraugus County,New York
256,2013-01-01,34140,Cattaraugus County,New York
257,2014-01-01,35100,Cattaraugus County,New York
258,2015-01-01,36298,Cattaraugus County,New York
259,2016-01-01,36291,Cattaraugus County,New York
260,2017-01-01,38405,Cattaraugus County,New York
261,2018-01-01,38743,Cattaraugus County,New York
262,2019-01-01,40704,Cattaraugus County,New York
263,2020-01-01,44629,Cattaraugus County,New York
264,2021-01-01,46775,Cattaraugus County,New York
265,1969-01-01,3372,Cayuga County,New York
266,1970-01-01,3568,Cayuga County,New York
267,1971-01-01,3793,Cayuga County,New York
268,1972-01-01,4036,Cayuga County,New York
269,1973-01-01,4474,Cayuga County,New York
270,1974-01-01,4898,Cayuga County,New York
271,1975-01-01,5269,Cayuga County,New York
272,1976-01-01,5536,Cayuga County,New York
273,1977-01-01,5917,Cayuga County,New York
274,1978-01-01,6391,Cayuga County,New York
275,1979-01-01,7162,Cayuga County,New York
276,1980-01-01,8065,Cayuga County,New York
277,1981-01-01,8966,Cayuga County,New York
278,1982-01-01,9593,Cayuga County,New York
279,1983-01-01,10087,Cayuga County,New York
280,1984-01-01,11223,Cayuga County,New York
281,1985-01-01,11838,Cayuga County,New York
282,1986-01-01,12604,Cayuga County,New York
283,1987-01-01,13270,Cayuga County,New York
284,1988-01-01,14020,Cayuga County,New York
285,1989-01-01,15179,Cayuga County,New York
286,1990-01-01,16155,Cayuga County,New York
287,1991-01-01,16365,Cayuga County,New York
288,1992-01-01,17276,Cayuga County,New York
289,1993-01-01,17844,Cayuga County,New York
290,1994-01-01,18543,Cayuga County,New York
291,1995-01-01,19224,Cayuga County,New York
292,1996-01-01,20388,Cayuga County,New York
293,1997-01-01,21051,Cayuga County,New York
294,1998-01-01,21353,Cayuga County,New York
295,1999-01-01,22557,Cayuga County,New York
296,2000-01-01,23568,Cayuga County,New York
297,2001-01-01,24262,Cayuga County,New York
298,2002-01-01,25009,Cayuga County,New York
299,2003-01-01,26316,Cayuga County,New York
300,2004-01-01,27119,Cayuga County,New York
301,2005-01-01,27091,Cayuga County,New York
302,2006-01-01,27806,Cayuga County,New York
303,2007-01-01,30081,Cayuga County,New York
304,2008-01-01,31368,Cayuga County,New York
305,2009-01-01,31297,Cayuga County,New York
306,2010-01-01,33125,Cayuga County,New York
307,2011-01-01,34736,Cayuga County,New York
308,2012-01-01,36049,Cayuga County,New York
309,2013-01-01,36842,Cayuga County,New York
310,2014-01-01,37839,Cayuga County,New York
311,2015-01-01,38616,Cayuga County,New York
312,2016-01-01,39207,Cayuga County,New York
313,2017-01-01,41136,Cayuga County,New York
314,2018-01-01,41931,Cayuga County,New York
315,2019-01-01,44668,Cayuga County,New York
316,2020-01-01,48654,Cayuga County,New York
317,2021-01-01,51431,Cayuga County,New York
318,1969-01-01,3495,Chautauqua County,New York
319,1970-01-01,3709,Chautauqua County,New York
320,1971-01-01,3907,Chautauqua County,New York
321,1972-01-01,4113,Chautauqua County,New York
322,1973-01-01,4505,Chautauqua County,New York
323,1974-01-01,4979,Chautauqua County,New York
324,1975-01-01,5352,Chautauqua County,New York
325,1976-01-01,5741,Chautauqua County,New York
326,1977-01-01,6160,Chautauqua County,New York
327,1978-01-01,6817,Chautauqua County,New York
328,1979-01-01,7622,Chautauqua County,New York
329,1980-01-01,8533,Chautauqua County,New York
330,1981-01-01,9406,Chautauqua County,New York
331,1982-01-01,10108,Chautauqua County,New York
332,1983-01-01,10646,Chautauqua County,New York
333,1984-01-01,11798,Chautauqua County,New York
334,1985-01-01,12219,Chautauqua County,New York
335,1986-01-01,12729,Chautauqua County,New York
336,1987-01-01,13247,Chautauqua County,New York
337,1988-01-01,14088,Chautauqua County,New York
338,1989-01-01,15046,Chautauqua County,New York
339,1990-01-01,15732,Chautauqua County,New York
340,1991-01-01,16269,Chautauqua County,New York
341,1992-01-01,17244,Chautauqua County,New York
342,1993-01-01,17648,Chautauqua County,New York
343,1994-01-01,18209,Chautauqua County,New York
344,1995-01-01,18586,Chautauqua County,New York
345,1996-01-01,19108,Chautauqua County,New York
346,1997-01-01,19761,Chautauqua County,New York
347,1998-01-01,20634,Chautauqua County,New York
348,1999-01-01,21258,Chautauqua County,New York
349,2000-01-01,22140,Chautauqua County,New York
350,2001-01-01,22432,Chautauqua County,New York
351,2002-01-01,22567,Chautauqua County,New York
352,2003-01-01,23386,Chautauqua County,New York
353,2004-01-01,24803,Chautauqua County,New York
354,2005-01-01,25362,Chautauqua County,New York
355,2006-01-01,26529,Chautauqua County,New York
356,2007-01-01,27942,Chautauqua County,New York
357,2008-01-01,29907,Chautauqua County,New York
358,2009-01-01,29941,Chautauqua County,New York
359,2010-01-01,31382,Chautauqua County,New York
360,2011-01-01,32796,Chautauqua County,New York
361,2012-01-01,33981,Chautauqua County,New York
362,2013-01-01,34378,Chautauqua County,New York
363,2014-01-01,35562,Chautauqua County,New York
364,2015-01-01,36696,Chautauqua County,New York
365,2016-01-01,37042,Chautauqua County,New York
366,2017-01-01,39174,Chautauqua County,New York
367,2018-01-01,39471,Chautauqua County,New York
368,2019-01-01,41237,Chautauqua County,New York
369,2020-01-01,44998,Chautauqua County,New York
370,2021-01-01,47642,Chautauqua County,New York
371,1969-01-01,3661,Chemung County,New York
372,1970-01-01,3911,Chemung County,New York
373,1971-01-01,4135,Chemung County,New York
374,1972-01-01,4433,Chemung County,New York
375,1973-01-01,4915,Chemung County,New York
376,1974-01-01,5344,Chemung County,New York
377,1975-01-01,5707,Chemung County,New York
378,1976-01-01,6190,Chemung County,New York
379,1977-01-01,6681,Chemung County,New York
380,1978-01-01,7235,Chemung County,New York
381,1979-01-01,7793,Chemung County,New York
382,1980-01-01,8892,Chemung County,New York
383,1981-01-01,9850,Chemung County,New York
384,1982-01-01,10393,Chemung County,New York
385,1983-01-01,11046,Chemung County,New York
386,1984-01-01,12120,Chemung County,New York
387,1985-01-01,12574,Chemung County,New York
388,1986-01-01,13388,Chemung County,New York
389,1987-01-01,14154,Chemung County,New York
390,1988-01-01,14977,Chemung County,New York
391,1989-01-01,16219,Chemung County,New York
392,1990-01-01,16919,Chemung County,New York
393,1991-01-01,17532,Chemung County,New York
394,1992-01-01,18203,Chemung County,New York
395,1993-01-01,18553,Chemung County,New York
396,1994-01-01,19342,Chemung County,New York
397,1995-01-01,20178,Chemung County,New York
398,1996-01-01,21060,Chemung County,New York
399,1997-01-01,21946,Chemung County,New York
400,1998-01-01,22789,Chemung County,New York
401,1999-01-01,23857,Chemung County,New York
402,2000-01-01,25325,Chemung County,New York
403,2001-01-01,25600,Chemung County,New York
404,2002-01-01,25519,Chemung County,New York
405,2003-01-01,26158,Chemung County,New York
406,2004-01-01,27195,Chemung County,New York
407,2005-01-01,28450,Chemung County,New York
408,2006-01-01,29943,Chemung County,New York
409,2007-01-01,31327,Chemung County,New York
410,2008-01-01,33664,Chemung County,New York
411,2009-01-01,33665,Chemung County,New York
412,2010-01-01,35156,Chemung County,New York
413,2011-01-01,36722,Chemung County,New York
414,2012-01-01,37304,Chemung County,New York
415,2013-01-01,37817,Chemung County,New York
416,2014-01-01,39055,Chemung County,New York
417,2015-01-01,39571,Chemung County,New York
418,2016-01-01,39887,Chemung County,New York
419,2017-01-01,41853,Chemung County,New York
420,2018-01-01,43313,Chemung County,New York
421,2019-01-01,45402,Chemung County,New York
422,2020-01-01,49108,Chemung County,New York
423,2021-01-01,52360,Chemung County,New York
424,1969-01-01,3368,Chenango County,New York
425,1970-01-01,3486,Chenango County,New York
426,1971-01-01,3660,Chenango County,New York
427,1972-01-01,3910,Chenango County,New York
428,1973-01-01,4405,Chenango County,New York
429,1974-01-01,4724,Chenango County,New York
430,1975-01-01,5394,Chenango County,New York
431,1976-01-01,5432,Chenango County,New York
432,1977-01-01,5800,Chenango County,New York
433,1978-01-01,6413,Chenango County,New York
434,1979-01-01,7218,Chenango County,New York
435,1980-01-01,8074,Chenango County,New York
436,1981-01-01,8810,Chenango County,New York
437,1982-01-01,9565,Chenango County,New York
438,1983-01-01,10112,Chenango County,New York
439,1984-01-01,11138,Chenango County,New York
440,1985-01-01,11896,Chenango County,New York
441,1986-01-01,12783,Chenango County,New York
442,1987-01-01,13237,Chenango County,New York
443,1988-01-01,14099,Chenango County,New York
444,1989-01-01,15241,Chenango County,New York
445,1990-01-01,15766,Chenango County,New York
446,1991-01-01,16086,Chenango County,New York
447,1992-01-01,17267,Chenango County,New York
448,1993-01-01,17508,Chenango County,New York
449,1994-01-01,17760,Chenango County,New York
450,1995-01-01,18138,Chenango County,New York
451,1996-01-01,18658,Chenango County,New York
452,1997-01-01,19254,Chenango County,New York
453,1998-01-01,20108,Chenango County,New York
454,1999-01-01,21407,Chenango County,New York
455,2000-01-01,22392,Chenango County,New York
456,2001-01-01,23015,Chenango County,New York
457,2002-01-01,23204,Chenango County,New York
458,2003-01-01,23916,Chenango County,New York
459,2004-01-01,25541,Chenango County,New York
460,2005-01-01,25944,Chenango County,New York
461,2006-01-01,26660,Chenango County,New York
462,2007-01-01,27831,Chenango County,New York
463,2008-01-01,29454,Chenango County,New York
464,2009-01-01,29956,Chenango County,New York
465,2010-01-01,31324,Chenango County,New York
466,2011-01-01,33077,Chenango County,New York
467,2012-01-01,34728,Chenango County,New York
468,2013-01-01,35673,Chenango County,New York
469,2014-01-01,36730,Chenango County,New York
470,2015-01-01,37838,Chenango County,New York
471,2016-01-01,38551,Chenango County,New York
472,2017-01-01,40666,Chenango County,New York
473,2018-01-01,41378,Chenango County,New York
474,2019-01-01,42909,Chenango County,New York
475,2020-01-01,47183,Chenango County,New York
476,2021-01-01,50568,Chenango County,New York
477,1969-01-01,2959,Clinton County,New York
478,1970-01-01,3402,Clinton County,New York
479,1971-01-01,3699,Clinton County,New York
480,1972-01-01,3816,Clinton County,New York
481,1973-01-01,4259,Clinton County,New York
482,1974-01-01,4647,Clinton County,New York
483,1975-01-01,5039,Clinton County,New York
484,1976-01-01,5291,Clinton County,New York
485,1977-01-01,5586,Clinton County,New York
486,1978-01-01,6239,Clinton County,New York
487,1979-01-01,6970,Clinton County,New York
488,1980-01-01,7660,Clinton County,New York
489,1981-01-01,8567,Clinton County,New York
490,1982-01-01,9221,Clinton County,New York
491,1983-01-01,10007,Clinton County,New York
492,1984-01-01,11145,Clinton County,New York
493,1985-01-01,11925,Clinton County,New York
494,1986-01-01,12709,Clinton County,New York
495,1987-01-01,13541,Clinton County,New York
496,1988-01-01,14185,Clinton County,New York
497,1989-01-01,15242,Clinton County,New York
498,1990-01-01,16239,Clinton County,New York
499,1991-01-01,16603,Clinton County,New York
500,1992-01-01,17409,Clinton County,New York
501,1993-01-01,17825,Clinton County,New York
502,1994-01-01,18212,Clinton County,New York
503,1995-01-01,19026,Clinton County,New York
504,1996-01-01,19731,Clinton County,New York
505,1997-01-01,20550,Clinton County,New York
506,1998-01-01,21801,Clinton County,New York
507,1999-01-01,22943,Clinton County,New York
508,2000-01-01,24289,Clinton County,New York
509,2001-01-01,25379,Clinton County,New York
510,2002-01-01,25925,Clinton County,New York
511,2003-01-01,26892,Clinton County,New York
512,2004-01-01,28021,Clinton County,New York
513,2005-01-01,28390,Clinton County,New York
514,2006-01-01,29487,Clinton County,New York
515,2007-01-01,31461,Clinton County,New York
516,2008-01-01,32789,Clinton County,New York
517,2009-01-01,33885,Clinton County,New York
518,2010-01-01,35493,Clinton County,New York
519,2011-01-01,36063,Clinton County,New York
520,2012-01-01,37085,Clinton County,New York
521,2013-01-01,37770,Clinton County,New York
522,2014-01-01,38566,Clinton County,New York
523,2015-01-01,40817,Clinton County,New York
524,2016-01-01,41167,Clinton County,New York
525,2017-01-01,42914,Clinton County,New York
526,2018-01-01,43138,Clinton County,New York
527,2019-01-01,44979,Clinton County,New York
528,2020-01-01,48408,Clinton County,New York
529,2021-01-01,50625,Clinton County,New York
530,1969-01-01,3533,Columbia County,New York
531,1970-01-01,3838,Columbia County,New York
532,1971-01-01,4134,Columbia County,New York
533,1972-01-01,4397,Columbia County,New York
534,1973-01-01,4918,Columbia County,New York
535,1974-01-01,5381,Columbia County,New York
536,1975-01-01,5940,Columbia County,New York
537,1976-01-01,6373,Columbia County,New York
538,1977-01-01,6832,Columbia County,New York
539,1978-01-01,7614,Columbia County,New York
540,1979-01-01,8686,Columbia County,New York
541,1980-01-01,9738,Columbia County,New York
542,1981-01-01,10542,Columbia County,New York
543,1982-01-01,11263,Columbia County,New York
544,1983-01-01,11820,Columbia County,New York
545,1984-01-01,13141,Columbia County,New York
546,1985-01-01,14003,Columbia County,New York
547,1986-01-01,14893,Columbia County,New York
548,1987-01-01,15803,Columbia County,New York
549,1988-01-01,16857,Columbia County,New York
550,1989-01-01,18261,Columbia County,New York
551,1990-01-01,18576,Columbia County,New York
552,1991-01-01,18846,Columbia County,New York
553,1992-01-01,20037,Columbia County,New York
554,1993-01-01,20759,Columbia County,New York
555,1994-01-01,21197,Columbia County,New York
556,1995-01-01,22266,Columbia County,New York
557,1996-01-01,23271,Columbia County,New York
558,1997-01-01,24405,Columbia County,New York
559,1998-01-01,26075,Columbia County,New York
560,1999-01-01,27558,Columbia County,New York
561,2000-01-01,29772,Columbia County,New York
562,2001-01-01,30410,Columbia County,New York
563,2002-01-01,30226,Columbia County,New York
564,2003-01-01,31225,Columbia County,New York
565,2004-01-01,33796,Columbia County,New York
566,2005-01-01,34355,Columbia County,New York
567,2006-01-01,36789,Columbia County,New York
568,2007-01-01,37786,Columbia County,New York
569,2008-01-01,40303,Columbia County,New York
570,2009-01-01,40446,Columbia County,New York
571,2010-01-01,42175,Columbia County,New York
572,2011-01-01,43725,Columbia County,New York
573,2012-01-01,45680,Columbia County,New York
574,2013-01-01,46120,Columbia County,New York
575,2014-01-01,48323,Columbia County,New York
576,2015-01-01,49879,Columbia County,New York
577,2016-01-01,50954,Columbia County,New York
578,2017-01-01,52895,Columbia County,New York
579,2018-01-01,53519,Columbia County,New York
580,2019-01-01,57978,Columbia County,New York
581,2020-01-01,61949,Columbia County,New York
582,2021-01-01,65426,Columbia County,New York
583,1969-01-01,3237,Cortland County,New York
584,1970-01-01,3428,Cortland County,New York
585,1971-01-01,3754,Cortland County,New York
586,1972-01-01,3996,Cortland County,New York
587,1973-01-01,4373,Cortland County,New York
588,1974-01-01,4699,Cortland County,New York
589,1975-01-01,5070,Cortland County,New York
590,1976-01-01,5435,Cortland County,New York
591,1977-01-01,5671,Cortland County,New York
592,1978-01-01,6239,Cortland County,New York
593,1979-01-01,6789,Cortland County,New York
594,1980-01-01,7389,Cortland County,New York
595,1981-01-01,8067,Cortland County,New York
596,1982-01-01,8779,Cortland County,New York
597,1983-01-01,9451,Cortland County,New York
598,1984-01-01,10486,Cortland County,New York
599,1985-01-01,10971,Cortland County,New York
600,1986-01-01,11838,Cortland County,New York
601,1987-01-01,12739,Cortland County,New York
602,1988-01-01,13750,Cortland County,New York
603,1989-01-01,15063,Cortland County,New York
604,1990-01-01,15308,Cortland County,New York
605,1991-01-01,15950,Cortland County,New York
606,1992-01-01,16925,Cortland County,New York
607,1993-01-01,17269,Cortland County,New York
608,1994-01-01,17686,Cortland County,New York
609,1995-01-01,18379,Cortland County,New York
610,1996-01-01,18999,Cortland County,New York
611,1997-01-01,19919,Cortland County,New York
612,1998-01-01,20519,Cortland County,New York
613,1999-01-01,21417,Cortland County,New York
614,2000-01-01,23403,Cortland County,New York
615,2001-01-01,22971,Cortland County,New York
616,2002-01-01,23396,Cortland County,New York
617,2003-01-01,24240,Cortland County,New York
618,2004-01-01,25384,Cortland County,New York
619,2005-01-01,25759,Cortland County,New York
620,2006-01-01,26684,Cortland County,New York
621,2007-01-01,28101,Cortland County,New York
622,2008-01-01,29702,Cortland County,New York
623,2009-01-01,30451,Cortland County,New York
624,2010-01-01,31501,Cortland County,New York
625,2011-01-01,32626,Cortland County,New York
626,2012-01-01,34043,Cortland County,New York
627,2013-01-01,34156,Cortland County,New York
628,2014-01-01,35020,Cortland County,New York
629,2015-01-01,37433,Cortland County,New York
630,2016-01-01,37421,Cortland County,New York
631,2017-01-01,39472,Cortland County,New York
632,2018-01-01,40612,Cortland County,New York
633,2019-01-01,41611,Cortland County,New York
634,2020-01-01,45921,Cortland County,New York
635,2021-01-01,48617,Cortland County,New York
636,1969-01-01,3090,Delaware County,New York
637,1970-01-01,3223,Delaware County,New York
638,1971-01-01,3445,Delaware County,New York
639,1972-01-01,3677,Delaware County,New York
640,1973-01-01,3956,Delaware County,New York
641,1974-01-01,4197,Delaware County,New York
642,1975-01-01,4550,Delaware County,New York
643,1976-01-01,4784,Delaware County,New York
644,1977-01-01,5049,Delaware County,New York
645,1978-01-01,5670,Delaware County,New York
646,1979-01-01,6197,Delaware County,New York
647,1980-01-01,7092,Delaware County,New York
648,1981-01-01,7905,Delaware County,New York
649,1982-01-01,8657,Delaware County,New York
650,1983-01-01,9140,Delaware County,New York
651,1984-01-01,10300,Delaware County,New York
652,1985-01-01,10738,Delaware County,New York
653,1986-01-01,11707,Delaware County,New York
654,1987-01-01,12186,Delaware County,New York
